Hotel	59222	38.631913	-121.434879	1
Hotel	68212	38.478902	-121.431028	8
Hotel	68880	38.618305	-121.443839	8
Hotel	69307	38.616835	-121.439146	6
Hotel	81900	38.51947	-121.435768	9
Hotel	89921	38.662595	-121.327813	2
Hotel	90895	38.681659	-121.351705	1
Hotel	91002	38.535092	-121.481367	5
Hotel	94905	38.621188	-121.270555	1
Hotel	98937	38.700909	-121.442979	0
Hotel	100309	38.637663	-121.45152	7
Hotel	106250	38.470746	-121.458918	0
Hotel	106852	38.618698	-121.435833	8
Hotel	107502	38.482215	-121.492603	2
Hotel	108750	38.672914	-121.35934	2
Hotel	110700	38.700051	-121.351278	0
Hotel	113263	38.689591	-121.452239	9
Hotel	116250	38.679776	-121.314089	9
Hotel	120000	38.612099	-121.469095	2
Hotel	121630	38.689999	-121.46322	9
Hotel	122000	38.707851	-121.320707	7
Hotel	122682	38.468173	-121.444071	8
Hotel	123000	38.702792	-121.38221	2
Hotel	124100	38.628631	-121.488097	8
Hotel	125000	38.701499	-121.37622	1
Hotel	126640	38.70974	-121.37377	9
Hotel	127281	38.537526	-121.478315	7
Hotel	129000	38.476472	-121.501711	6
Hotel	131200	38.558423	-121.327948	8
Hotel	132000	38.472122	-121.404199	2
Hotel	133000	38.423251	-121.444489	3
Hotel	134555	38.691161	-121.37192	1
Hotel	136500	38.566663	-121.332644	6
Hotel	138750	38.713182	-121.411227	3
Hotel	141000	38.423251	-121.444489	3
Hotel	146250	38.48742	-121.462459	7
Hotel	147308	38.658246	-121.375469	8
Hotel	148750	38.479553	-121.463317	9
Hotel	149593	38.49857	-121.420925	8
Hotel	150000	38.58514	-121.403736	5
Hotel	152000	38.658812	-121.542345	8
Hotel	154000	38.493955	-121.48966	3
Hotel	156896	38.41653	-121.379653	6
Hotel	161250	38.72027	-121.331555	0
Hotel	161500	38.699251	-121.371414	9
Hotel	164000	38.613765	-121.488694	3
Hotel	165000	38.450543	-121.432538	0
Hotel	166357	38.489405	-121.452811	9
Hotel	166357	38.636748	-121.422159	6
Hotel	168000	38.499954	-121.454469	9
Hotel	170000	38.415518	-121.370527	5
Hotel	173000	38.473814	-121.470527	3
Hotel	174250	38.477553	-121.419463	7
Hotel	174313	38.474853	-121.406326	4
Hotel	178480	38.465184	-121.434925	5
Hotel	178760	38.287789	-121.294715	7
Hotel	179580	38.665724	-121.358576	5
Hotel	181000	38.547011	-121.366217	7
Hotel	181872	38.662105	-121.313945	2
Hotel	182587	38.4473		-121.435218	7
Hotel	182716	38.714609	-121.347887	6
Hotel	182750	38.260443	-121.297864	0
Hotel	183200	38.664186	-121.217511	0
Hotel	188741	38.251808	-121.302493	1
Hotel	189000	38.459041	-121.424644	0
Restaurant 	192067	38.560767	-121.377471	7
Restaurant	194000	38.422811	-121.423285	0
Restaurant	194818	38.711279	-121.393449	8
Restaurant	195000	38.48009	-121.415102	0
Restaurant	198000	38.44004	-121.421012	0
Restaurant	199500	38.44076	-121.385792	0
Restaurant	200000	38.687742	-121.17104	0
Restaurant	200000	38.664468	-121.32683	0
Restaurant	206000	38.631481	-121.50188	0
Restaurant	208000	38.653439	-121.535169	0
Restaurant	212864	38.454349	-121.439239	4
Restaurant	221000	38.427818	-121.424026	0
Restaurant	221000	38.67307	-121.506373	0
Restaurant	223058	38.435436	-121.394536	8
Restaurant	227887	38.400676	-121.38101	7
Restaurant	231477	38.491399	-121.443547	7
Restaurant	234697	38.593699	-121.31089	7
Restaurant	235000	38.702855	-121.31308	0
Restaurant	236000	38.618457	-121.509439	0
Restaurant	236685	38.463355	-121.358936	5
Restaurant	237800	38.547991	-121.280483	0
Restaurant	240122	38.693818	-121.441153	2
Restaurant	242638	38.400974	-121.448424	8
Restaurant	244000	38.478198	-121.412911	0
Restaurant	244500	38.626671	-121.52597	0
Restaurant	244960	38.502519	-121.420769	0
Restaurant	245918	38.443832	-121.382087	8
Restaurant	250000	38.665395	-121.293288	0
Hotel	250000	38.444909	-121.412345	0
Hotel	250134	38.637028	-121.312963	4
Hotel	254200	38.38692	-121.447349	0
Hotel	254200	38.653917	-121.34218	0
